# The error messages users meet most often, in Chinese: a pattern on the English message, what it
# means, and what to do. Tab separated; $1, $2 ... are the pattern's groups. First match wins.
^Machine has not been started\.?$	机器未启用。	点击顶栏的“机器状态”按钮或按 Ctrl+E 启用机器，然后重试。
^Machine not homed\. Jogging only allowed	机器尚未归位，无法点动。	点击“手动控制”卡片上的“归位”，或选择菜单“机器 › 归位”。
^Machine not homed\. Motion only allowed	机器尚未归位，无法移动。	点击“手动控制”卡片上的“归位”，或选择菜单“机器 › 归位”。
^Machine not homed	机器尚未归位。	点击“手动控制”卡片上的“归位”，或选择菜单“机器 › 归位”。
Can't move (.+?) to (.+?), lower than soft limit (.+)\.$	$1 轴目标位置 $2 低于软限位 $3。	请检查目标位置。若软限位设置有误，请在“机器设置 › 运动与轴”中修改。机器未移动。
Can't move (.+?) to (.+?), higher than soft limit (.+)\.$	$1 轴目标位置 $2 高于软限位 $3。	请检查目标位置。若软限位设置有误，请在“机器设置 › 运动与轴”中修改。机器未移动。
outside of the soft limit	目标位置超出软限位。	请检查目标位置。若软限位设置有误，请在“机器设置 › 运动与轴”中修改。机器未移动。
^Subject not found\.?$	相机画面中未识别到目标。	请检查相机对准和补光。可在视觉页打开管线编辑器，查看各阶段的处理结果。
^Machine still busy after timeout expired, task rejected\.?$	机器持续忙碌，操作已取消。	请等待当前动作完成后重试。
^Feeder (.+?) has no part\.?$	飞达 $1 未指定元件。	在飞达页选中该飞达，并在属性栏中选择元件。
^Feeder (.+?) part (.+?) empty\.?$	飞达 $1 的元件 $2 已用完。	补料后在飞达页重新启用该飞达。
^Feeder (.+?): No parts found\.?$	飞达 $1 中未找到元件。	请检查料带安装和飞达位置。
^Feeder (.+?): No tape holes found\.?$	飞达 $1 未找到料带孔。	请检查料带位置和补光，必要时在飞达页重新运行“自动设置”。
^Feeder (.+?): Machine not yet homed\.?$	机器尚未归位，飞达 $1 无法工作。	点击“手动控制”卡片上的“归位”。
^Unable to locate reference hole\. End of strip\?	未找到料带参考孔，料带可能已用完。	请检查料带和飞达位置，必要时在飞达页重新运行“自动设置”。
^Vision failed on feeder (.+?)\.?$	飞达 $1 视觉定位失败。	请在飞达页检查该飞达的视觉配置和料带位置。
^Feed failed\. Unable to find an actuator named (.+?)\.?$	送料失败：未找到名为 $1 的执行器。	请核对飞达设置中的执行器名称与机器设置中的执行器是否一致。
^Post pick failed\. Unable to find an actuator named (.+?)\.?$	取料后动作失败：未找到名为 $1 的执行器。	请核对飞达设置中的执行器名称与机器设置中的执行器是否一致。
^Failed, unable to find an actuator named (.+?)\.?$	未找到名为 $1 的执行器。	请核对设置中的执行器名称与机器设置中的执行器是否一致。
^No feeder loaded in slot\.?$	该槽位未安装飞达。	请在飞达页检查槽位设置。
^Nozzle (.+?) has no nozzle tip loaded\.?$	吸嘴 $1 未安装吸嘴头。	请先安装合适的吸嘴头（机器设置 › 吸嘴与吸嘴头），然后重试。
^Nozzle (.+?) does not have a nozzle tip loaded\.?$	吸嘴 $1 未安装吸嘴头。	请先安装合适的吸嘴头（机器设置 › 吸嘴与吸嘴头），然后重试。
^The nozzle (.+?) has no nozzle tip loaded\.?$	吸嘴 $1 未安装吸嘴头。	请先安装合适的吸嘴头（机器设置 › 吸嘴与吸嘴头），然后重试。
^The nozzle tip (.+?) is not loaded on nozzle (.+?)\.?$	吸嘴头 $1 未安装在吸嘴 $2 上。	请先将 $1 安装到 $2 上，然后重试。
^The nozzle tip (.+?) is already loaded on nozzle (.+?)\.?$	吸嘴头 $1 已安装在吸嘴 $2 上。	无需更换。
^Nozzle (.+?) still has a part loaded\. Please discard first\.?$	吸嘴 $1 上仍有元件。	请先点击“手动控制”卡片上的“抛料”，然后重试。
^No Part on the current nozzle!?$	当前吸嘴上无元件。	请先取料，然后重试。
^The head (.+?) primary fiducial location X and Y must be set first\.?$	贴装头 $1 的主基准点 X、Y 坐标未设置。	请在“机器设置 › 高级”中选中贴装头 $1，并在属性栏中设置主基准点位置。
^The head (.+?) primary fiducial location Z must be set first\.?$	贴装头 $1 的主基准点 Z 坐标未设置。	请在“机器设置 › 高级”中选中贴装头 $1，并在属性栏中设置主基准点的 Z 坐标。
^No vision capable camera found on head\.?$	贴装头上无可用于视觉识别的相机。	请在“机器设置 › 高级”中为贴装头添加一个朝下的相机。
^No Camera set on pipeline\.?$	视觉管线未指定相机。	请在管线编辑器中选择相机。
^Diagnostics are already running\.?$	测量已在进行。	请等待测量完成，或先停止当前测量。
^Measurement aborted\.?$	测量已中止。	
^Location is required\.?$	未设置位置。	请在属性栏中填写位置，或使用“捕获”按钮获取当前位置。
(?:java\.util\.concurrent\.)?TimeoutException|[Tt]imed? ?out	等待控制器响应超时。	请检查控制器连接以及串口或网络设置，必要时重新启用机器。
Connection refused	无法连接控制器：连接被拒绝。	请检查控制器是否已通电，以及地址和端口是否正确。
Port busy|port is busy|Port .+ not found|SerialPortException	无法打开控制器串口。	请检查串口号是否正确、是否被其他程序占用，并可重新插拔 USB 线后重试。
(?:java\.io\.)?FileNotFoundException:? ?(.+)	未找到文件：$1	请检查文件是否已被移动或删除。
^(?:java\.lang\.)?InterruptedException	操作已中断。	
